,,,,,Ease of doing business,,,,,Starting a business,,,,,,,,,,,,,,,,Dealing with construction permits,,,,,,,,,,,,,,,,,Getting electricity,,,,,,,,,,,,,,,,,,,,,Registering property,,,,,,,,,,,,,,,,,,,Getting credit,,,,,,,,,,,,,,,Protecting minority investors,,,,,,,,,,,,,,,,,,,,,Paying taxes,,,,,,,,,,,,,,,,,,,,,Trading across borders ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enforcing contracts,,,,,,,,,,,,,,,,,,,,,,,,,Resolving insolvency,,,,,,,,,,,,,
Country code,Economy,Region,Income group,DB Year,Ease of doing business rank (DB19),Ease of doing business score (DB17-19 methodology),Ease of doing business score (DB16 methodology),Ease of doing business score (DB15 methodology),Ease of doing business score  (DB10-14 methodology),Rank-Starting a business (DB19),Score-Starting a business,Procedures - Men (number),Time - Men (days),Cost - Men (% of income per capita),Procedures - Women (number),Time - Women (days),Cost - Women (% of income per capita),Paid-in Minimum capital (% of income per capita),Score-Procedures - Men (number),Score-Time - Men (days),Score-Cost - Men (% of income per capita),Score-Procedures - Women (number),Score-Time - Women (days),Score-Cost - Women (% of income per capita),Score-Paid-in Minimum capital (% of income per capita),Rank-Dealing with construction permits (DB19),Score-Dealing with construction permits (DB16-19 methodology),Score-Dealing with construction permits (DB06-15 methodology),Procedures (number),Time (days),Cost (% of Warehouse value),Building quality control index (0-15) (DB16-19 methodology),Quality of building regulations index (0-2) (DB16-19 methodology),Quality control before construction index (0-1) (DB16-19 methodology),Quality control during construction index (0-3) (DB16-19 methodology),Quality control after construction index (0-3) (DB16-19 methodology),Liability and insurance regimes index (0-2) (DB16-19 methodology),Professional certifications index (0-4) (DB16-19 methodology),Score-Procedures (number),Score-Time (days),Score-Cost (% of Warehouse value),Score-Building quality control index (0-15) (DB16-19 methodology),Rank-Getting electricity (DB19),Score-Getting electricity (DB16-19 methodology),Score-Getting electricity (DB10-15 methodology),Procedures (number),Time (days),Cost (% of income per capita),Reliability of supply and transparency of tariff index (0-8) (DB16-19 methodology),Total duration and frequency of outages per customer a year (0-3) (DB16-19 methodology),System average interruption duration index (SAIDI) (DB16-19 methodology),System average interruption frequency index (SAIFI) (DB16-19 methodology),Minimum outage time (in minutes)  (DB16-19 methodology),Mechanisms for monitoring outages (0-1) (DB16-19 methodology),Mechanisms for restoring service (0-1) (DB16-19 methodology),Regulatory monitoring (0-1) (DB16-19 methodology),Financial deterrents aimed at limiting outages (0-1) (DB16-19 methodology),Communication of tariffs and tariff changes (0-1) (DB16-19 methodology),Price of electricity (US cents per kWh) (DB16-19 methodology),Score-Procedures (number),Score-Time (days),Score-Cost (% of income per capita),Score-Reliability of supply and transparency of tariff index (0-8) (DB16-19 methodology),Rank-Registering property (DB19),Score-Registering property (DB17-19 methodology),Score-Registering property (DB16 methodology),Score-Registering property (DB05-15 methodology),Procedures (number),Time (days),Cost (% of property value),Quality of land administration index (0-30) (DB16 methodology),Quality of land administration index (0-30) (DB17-19 methodology),Reliability of infrastructure index (0-8) (DB16-19 methodology),Transparency of information index (0-6) (DB16-19 methodology),Geographic coverage index (0-8) (DB16-19 methodology),Land dispute resolution index (0-8) (DB16-19 methodology),Equal access to property rights index (-2-0) (DB17-19 methodology),Score-Procedures (number),Score-Time (days),Score-Cost (% of property value),Score-Quality of land administration index (0-30) (DB16 methodology),Score-Quality of land administration index with Gender(0-30)(DB17-19 methodology),Rank-Getting credit (DB19),Score-Getting credit (DB15-19 methodology),Score-Getting credit (DB05-14 methodology),Strength of legal rights index (0-10) (DB05-14 methodology),Strength of legal rights index (0-12) (DB15-19 methodology) ,Depth of credit information index (0-6) (DB05-14 methodology),Depth of credit information index (0-8) (DB15-19 methodology) ,Credit registry coverage (% of adults),Credit bureau coverage (% of adults),Getting Credit total score (DB05-14 methodology),Getting Credit total score (DB15-19 methodology) ,Score-Strength of legal rights index (0-10) (DB05-14 methodology),Score-Depth of credit information index (0-6) (DB05-14 methodology),Score-Strength of legal rights index (0-12) (DB15-19 methodology) ,Score-Depth of credit information index (0-8) (DB15-19 methodology) ,Rank-Protecting minority investors (DB19) ,Score-Protecting minority investors (DB15-19 methodology),Score-Protecting minority investors (DB06-14 methodology),Extent of disclosure index (0-10),Extent of director liability index (0-10),Ease of shareholder suits index (0-10) (DB06-14 methodology),Ease of shareholder suits index (0-10) (DB15-19 methodology) ,Extent of shareholder rights index (0-10) (DB15-19 methodology) ,Extent of ownership and control index (0-10) (DB15-19 methodology) ,Extent of corporate transparency index (0-10) (DB15-19 methodology) ,Extent of conflict of interest regulation index (0-10) (DB15-19 methodology) ,Extent of shareholder governance index (0-10) (DB15-19 methodology) ,Strength of investor protection index (0-10) (DB06-14 methodology),Strength of minority investor protection index (0-10) (DB15-19 methodology) ,Score-Extent of disclosure index (0-10),Score-Extent of director liability index (0-10),Score-Ease of shareholder suits index (0-10) (DB06-14 methodology),Score-Ease of shareholder suits index (0-10) (DB15-19 methodology),Score-Extent of shareholder rights index (0-10) (DB15-19 methodology),Score-Extent of ownership and control index (0-10) (DB15-19 methodology),Score-Extent of corporate transparency index (0-10) (DB15-19 methodology),Rank-Paying taxes (DB19),Score-Paying taxes (DB17-19 methodology),Score-Paying taxes (DB06-16 methodology),Payments (number per year),Time (hours per year),Total tax and contribution rate (% of profit),Profit tax (% of profit),Labor tax and contributions (% of profit),Other taxes (% of profit),Time to comply with VAT refund (hours) (DB17-19 methodology),Time to obtain VAT refund (weeks) (DB17-19 methodology),Time to comply with a corporate income tax correction (hours) (DB17-19 methodology),Time to complete a corporate income tax correction (weeks) (DB17-19 methodology),Score-Postfiling index (0-100) (DB17-19 methodology),Score-Payments (number per year),Score-Time (hours per year),Score-Total tax and contribution rate (% of profit),Score-Time to comply with VAT refund (hours) (DB17-19 methodology),Score-Time to obtain VAT refund (weeks) (DB17-19 methodology),Score-Time to comply with a corporate income tax correction (hours) (DB17-19  methodology),Score-Time to complete a corporate income tax correction (weeks) (DB17-19  methodology),Rank-Trading across borders (DB19),Score-Trading across borders (DB16-19 methodology),Score-Trading across borders (DB06-15 methodology),Documents to export (number) (DB06-15 methodology),Documents to import (number) (DB06-15 methodology),Cost to export (US$ per container deflated) (DB06-15 methodology),Cost to import (US$ per container deflated) (DB06-15 methodology),Time to export (days) (DB06-15 methodology),Time to import (days) (DB06-15 methodology),Time to export: Documentary compliance (hours) (DB16-19 methodology),Time to import: Documentary compliance (hours) (DB16-19 methodology),Time to export: Border compliance (hours) (DB16-19 methodology),Time to import: Border compliance (hours) (DB16-19 methodology),Cost to export: Documentary compliance (USD) (DB16-19 methodology),Cost to import: Documentary compliance (USD) (DB16-19 methodology),Cost to export: Border compliance (USD) (DB16-19 methodology),Cost to import: Border compliance (USD) (DB16-19 methodology),Score-Documents to export (number) (DB06-15 methodology),Score-Documents to import (number) (DB06-15 methodology),Score-Cost to export (US$ per container deflated) (DB06-15 methodology),Score-Cost to import (US$ per container deflated) (DB06-15 methodology),Score-Time to export (days) (DB06-15 methodology),Score-Time to import (days) (DB06-15 methodology),Score-Time to export: Documentary compliance (hours) (DB16-19 methodology),Score-Time to import: Documentary compliance (hours) (DB16-19 methodology),Score-Time to export: Border compliance (hours) (DB16-19 methodology),Score-Time to import: Border compliance (hours) (DB16-19 methodology),Score-Cost to export: Documentary compliance (USD) (DB16-19 methodology),Score-Cost to import: Documentary compliance (USD) (DB16-19 methodology),Score-Cost to export: Border compliance (USD) (DB16-19 methodology),Score-Cost to import: Border compliance (USD) (DB16-19 methodology),Rank-Enforcing contracts (DB19),Score-Enforcing contracts (DB17-19 methodology),Score-Enforcing contracts (DB16 methodology),Score-Enforcing contracts (DB04-15 methodology),Procedures (number),Time (days),Filing and service (days),Trial and judgment (days),Enforcement of judgment (days),Cost (% of claim),Attorney fees (% of claim),Court fees (% of claim),Enforcement fees (% of claim),Quality of judicial processes index (0-18) (DB16 methodology),Quality of judicial processes index (0-18) (DB17-19 methodology),Court structure and proceedings (0-5) (DB16 methodology),Court structure and proceedings (0-5) (DB17-19 methodology),Case management (0-6) (DB16-19 methodology),Court automation (0-4) (DB16-19 methodology),Alternative dispute resolution (0-3) (DB16-19 methodology),Score-Procedures (number),Score-Time (days),Score-Cost (% of claim),Score-Quality of judicial processes index (0-18) (DB16 methodology),Score-Quality of judicial processes index (0-18) (DB17-19 methodology),Rank-Resolving insolvency (DB19),Score-Resolving insolvency (DB15-19 methodology),Score-Resolving insolvency (DB04-14 methodology),Outcome (0 as piecemeal sale and 1 as going concern),Time (years),Cost (% of estate),Recovery rate (cents on the dollar),Strength of insolvency framework index (0-16) (DB15-19 methodology),Commencement of proceedings index (0-3) (DB15-19 methodology),Management of debtor's assets index (0-6) (DB15-19 methodology),Reorganization proceedings index (0-3) (DB15-19 methodology),Creditor participation index (0-4) (DB15-19 methodology),Score-Recovery rate (cents on the dollar),Score-Strength of insolvency framework index (0-16) (DB15-19 methodology)
AFG,Afghanistan,South Asia,Low income,2005,,,,,,,83.59,4,9,72,5,10,72,0,82.35,91.46,63.99,76.47,90.45,63.99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.33,11,252,7,,,,,,,,16.67,0,53.33,,,,,6.25,1,,0,,0,0,1,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75,47,1642,,,,29,,,,,,,,,,,18.75,0,67.49,,,,,0,No Practice,No Practice,No Practice,0,,,,,,0,
AFG,Afghanistan,South Asia,Low income,2006,,,,,,,83.19,4,9,75.2,5,10,75.2,0,82.35,91.46,62.39,76.47,90.45,62.39,100,,,24.11,13,358,166.5,,,,,,,,68,4.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,23.33,11,252,7,,,,,,,,16.67,0,53.33,,,,,6.25,1,,0,,0,0,1,,10,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,76.57,16,275,35.8,0,0,35.8,,,,,,78.33,65.07,86.3,,,,,,,16.22,10,10,4313,4155,67,80,,,,,,,,,11.11,38.46,14.97,32.77,0,0,,,,,,,,,,,,28.75,47,1642,,,,29,,,,,,,,,,,18.75,0,67.49,,,,,0,No Practice,No Practice,No Practice,0,,,,,,0,
AFG,Afghanistan,South Asia,Low income,2007,,,,,,,84.17,4,9,67.4,5,10,67.4,0,82.35,91.46,66.3,76.47,90.45,66.3,100,,,24.11,13,358,154.1,,,,,,,,68,4.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,23.33,11,252,7,,,,,,,,16.67,0,53.33,,,,,6.25,1,,0,,0,0,1,,10,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,76.57,16,275,35.8,0,0,35.8,,,,,,78.33,65.07,86.3,,,,,,,18.97,10,10,3889,3746,67,71,,,,,,,,,11.11,38.46,24.2,40.02,0,0,,,,,,,,,,,,28.75,47,1642,,,,29,,,,,,,,,,,18.75,0,67.49,,,,,0,No Practice,No Practice,No Practice,0,,,,,,0,
AFG,Afghanistan,South Asia,Low income,2008,,,,,,,80.29,5,10,84.6,6,11,84.6,0,76.47,90.45,57.69,70.59,89.45,57.69,100,,,24.11,13,358,160.1,,,,,,,,68,4.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,28.89,9,250,7,,,,,,,,33.33,0,53.33,,,,,6.25,1,,0,,0,0,1,,10,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,74.9,19,275,35.8,0,0,35.8,,,,,,73.33,65.07,86.3,,,,,,,20.65,10,10,3629,3496,67,71,,,,,,,,,11.11,38.46,29.87,44.47,0,0,,,,,,,,,,,,28.75,47,1642,,,,29,,,,,,,,,,,18.75,0,67.49,,,,,27.07,0,2,25,25.1,,,,,,27.07,
AFG,Afghanistan,South Asia,Low income,2009,,,,,,,83.44,5,10,59.5,6,11,59.5,0,76.47,90.45,70.27,70.59,89.45,70.27,100,,,24.11,13,358,112.5,,,,,,,,68,4.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,28.89,9,250,7,,,,,,,,33.33,0,53.33,,,,,6.25,1,,0,,0,0,1,,10,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,74.9,19,275,35.8,0,0,35.8,,,,,,73.33,65.07,86.3,,,,,,,20.47,10,10,3645,3536,74,77,,,,,,,,,11.11,38.46,29.51,43.74,0,0,,,,,,,,,,,,28.75,47,1642,,,,29,,,,,,,,,,,18.75,0,67.49,,,,,26.16,0,2,25,24.3,,,,,,26.16,
AFG,Afghanistan,South Asia,Low income,2010,,,,,40.06,,87.35,5,9,30.2,6,10,30.2,0,76.47,91.46,84.9,70.59,90.45,84.9,100,,,24.11,13,358,97.1,,,,,,,,68,4.32,0,,,,58.57,4,424,618.2,,,,,,,,,,,,83.33,0,92.37,,,,,35.56,9,250,4,,,,,,,,33.33,0,73.33,,,,,37.5,6,,0,,0,0,6,,60,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,74.9,19,275,35.8,0,0,35.8,,,,,,73.33,65.07,86.3,,,,,,,17.71,10,10,4033,3994,74,77,,,,,,,,,11.11,38.46,21.06,35.63,0,0,,,,,,,,,,,,28.75,47,1642,,,,29,,,,,,,,,,,18.75,0,67.49,,,,,26.16,0,2,25,24.3,,,,,,26.16,
AFG,Afghanistan,South Asia,Low income,2011,,,,,37.33,,87.78,5,9,26.7,6,10,26.7,0,76.47,91.46,86.64,70.59,90.45,86.64,100,,,24.11,13,358,85.6,,,,,,,,68,4.32,0,,,,37.66,5,196,6179.7,,,,,,,,,,,,66.67,22.61,23.71,,,,,33.33,9,250,5,,,,,,,,33.33,0,66.67,,,,,37.5,6,,0,,0,0,6,,60,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,74.9,19,275,35.8,0,0,35.8,,,,,,73.33,65.07,86.3,,,,,,,11.26,10,10,4821,5208,74,77,,,,,,,,,11.11,38.46,3.91,14.06,0,0,,,,,,,,,,,,28.75,47,1642,,,,29,,,,,,,,,,,18.75,0,67.49,,,,,28,0,2,25,26,,,,,,28,
AFG,Afghanistan,South Asia,Low income,2012,,,,,39.65,,87.9,5,9,25.8,6,10,25.8,0,76.47,91.46,87.11,70.59,90.45,87.11,100,,,24.11,13,358,80.5,,,,,,,,68,4.32,0,,,,57.41,6,114,2917.8,,,,,,,,,,,,50,58.26,63.98,,,,,33.33,9,250,5,,,,,,,,33.33,0,66.67,,,,,37.5,6,,0,,0,0,6,,60,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,74.9,19,275,35.8,0,0,35.8,,,,,,73.33,65.07,86.3,,,,,,,14.1,10,10,4405,4759,74,77,,,,,,,,,11.11,38.46,12.97,22.04,0,0,,,,,,,,,,,,28.75,47,1642,40,1420,182,29,24,5,0,,,,,,,,18.75,0,67.49,,,,,28.49,0,2,25,26.5,,,,,,28.49,
AFG,Afghanistan,South Asia,Low income,2013,,,,,40.12,,88.31,5,9,22.5,6,10,22.5,0,76.47,91.46,88.76,70.59,90.45,88.76,100,,,24.11,13,358,71.2,,,,,,,,68,4.32,0,,,,58.92,6,114,2550.7,,,,,,,,,,,,50,58.26,68.51,,,,,33.33,9,250,5,,,,,,,,33.33,0,66.67,,,,,37.5,6,,0,,0,0,6,,60,0,,,,,10,1,1,1,,,,,,,1,,10,10,10,,,,,,,74.9,19,275,35.8,0,0,35.8,,,,,,73.33,65.07,86.3,,,,,,,16.97,10,10,3984,4304,74,77,,,,,,,,,11.11,38.46,22.13,30.11,0,0,,,,,,,,,,,,28.75,47,1642,40,1420,182,29,24,5,0,,,,,,,,18.75,0,67.49,,,,,28.42,0,2,25,26.4,,,,,,28.42,
