Country Name,2015_happiness,2016_happiness,2017_happiness,2015_gdp,2016_gdp,2017_gdp
Canada,7.427,7.404,7.315999985,43495.05439,42279.90082,45069.92725
Mexico,7.187,6.778,6.578000069,9605.952351,8739.142471,9281.101483
United States,7.119,7.104,6.993000031,56803.47243,57904.20196,59927.92983
Brazil,6.983,6.952,6.635000229,8814.000987,8712.887044,9880.946543
Germany,6.75,6.994,6.951000214,41394.65816,42443.46507,44681.08258
South Korea,5.984,5.835,5.837999821,27105.07623,27608.24743,29742.83886
Russia,5.716,5.856,5.962999821,9313.787542,8745.375116,10750.58712
China,5.14,5.245,5.272999763,8033.388043,8078.790474,8759.041578
Philippines,5.073,5.279,5.429999828,2867.15199,2941.21204,2981.934151
Haiti,4.518,4.028,3.602999926,815.7282844,735.7551202,765.6139847
Cambodia,3.819,3.907,4.168000221,1162.90492,1269.591257,1385.25998
Greece,4.857,5.033,5.227000237,18167.77372,18116.45962,18883.46007
