Country Name,GDP 2015,GDP 2016,GDP 2017,Country Name,GDP 2015,GDP 2016,GDP 2017
Aruba,25796.38025,25239.60041,25630.26649,Switzerland,82081.59712,80037.50304,80333.44494
Afghanistan,578.4663529,547.2281102,556.3021385,Iceland,52428.59576,61757.94931,71314.7742
Angola,4166.979684,3506.072885,4095.812942,Denmark,53254.85059,54467.10143,57218.85196
Albania,3952.830781,4124.108543,4532.889198,Norway,74521.56993,70941.52527,75704.2487
Andorra,36039.6535,37224.10892,39134.39337,Canada,43495.05439,42279.90082,45069.92725
Arab World,6458.702258,6202.690406,6284.737723,Finland,42494.65662,43493.41934,45804.65421
United Arab Emirates,38663.38381,38141.84676,40325.382,Netherlands,45175.23189,46007.85292,48482.76621
Argentina,13789.06042,12790.24247,14591.86338,Sweden,50832.55271,51617.54035,53253.47664
Armenia,3607.296697,3591.829276,3914.501268,New Zealand,38559.54704,40026.8522,42260.12518
American Samoa,11843.33118,11714.89568,11398.77742,Australia,56748.42026,50019.96777,54093.60219
Antigua and Barbuda,14526.58808,15494.30547,15824.66781,Israel,35855.27504,37371.62691,40543.58417
Australia,56748.42026,50019.96777,54093.60219,Costa Rica,11299.13618,11666.45661,11752.5436
Austria,44176.67174,45103.32981,47380.82964,Austria,44176.67174,45103.32981,47380.82964
Azerbaijan,5500.320497,3880.738731,4147.089716,Mexico,9605.952351,8739.142471,9281.101483
Burundi,305.5497728,282.1496815,293.009062,United States,56803.47243,57904.20196,59927.92983
Belgium,40441.05204,41449.09736,43507.2382,Brazil,8814.000987,8712.887044,9880.946543
Benin,783.9630778,788.5491965,827.4298101,Luxembourg,100428.368,101305.5277,104498.7387
Burkina Faso,575.3144542,583.8326203,642.0404265,Ireland,61908.79453,63558.69793,68941.80665
Bangladesh,1248.453398,1401.620628,1563.994082,Belgium,40441.05204,41449.09736,43507.2382
Bulgaria,6993.783483,7469.455638,8228.01157,United Arab Emirates,38663.38381,38141.84676,40325.382
Bahrain,22688.9444,22619.11667,23715.48275,United Kingdom,44472.1517,40539.91961,39932.06029
"Bahamas, The",31512.85655,31325.29483,31857.89015,Venezuela,,,
Bosnia and Herzegovina,4727.277546,4994.68314,5394.59122,Singapore,55646.61875,56724.17039,60297.79378
Belarus,5949.106307,5022.626643,5761.74712,Panama,13630.30797,14356.32405,15166.12443
Belize,4883.179011,4904.034338,4956.808039,Germany,41394.65816,42443.46507,44681.08258
Bermuda,,,,Chile,13574.1715,13748.0884,15037.35011
Bolivia,3035.972215,3076.658949,3351.124053,Qatar,63039.01655,57163.06099,61264.39648
Brazil,8814.000987,8712.887044,9880.946543,France,36613.37522,36962.22229,38679.12715
Barbados,16066.4718,15847.14272,16327.60723,Argentina,13789.06042,12790.24247,14591.86338
Brunei Darussalam,31164.56203,27157.34623,28572.10942,Czech Republic,17715.61685,18463.38658,20379.89604
Bhutan,2829.891245,3012.961401,3390.714075,Uruguay,15613.76427,15387.14403,16437.24487
Botswana,6799.875234,7243.856017,7893.675933,Colombia,6175.87603,5871.223524,6375.932063
Central African Republic,380.4042935,406.5319611,471.6032278,Thailand,5840.046948,5978.611454,6578.188865
Canada,43495.05439,42279.90082,45069.92725,Saudi Arabia,20627.93278,19879.29753,20803.74257
Central Europe and the Baltics,12467.45018,12773.78384,14167.6491,Spain,25817.38661,26622.29914,28208.26105
Switzerland,82081.59712,80037.50304,80333.44494,Malta,24046.27535,25128.93738,27241.09064
Channel Islands,,,,Kuwait,29869.52939,27653.1644,29474.54143
Chile,13574.1715,13748.0884,15037.35011,Trinidad and Tobago,18332.49031,15786.12052,16076.08204
China,8033.388043,8078.790474,8759.041578,El Salvador,3705.577946,3800.122181,3902.237622
Cote d'Ivoire,1426.457845,1481.652305,1557.182948,Guatemala,3923.573344,4140.590064,4470.610798
Cameroon,1326.969277,1363.403851,1421.587492,Uzbekistan,2615.025134,2567.799418,1826.56704
Congo,497.3169608,471.3188404,467.0742375,Japan,34524.46986,38794.33094,38331.9794
"Congo, Rep.",1761.32357,1814.063418,1702.571349,Korea,27105.07623,27608.24743,29742.83886
Colombia,6175.87603,5871.223524,6375.932063,Ecuador,6124.491643,6060.093329,6213.501276
Comoros,1271.057042,1287.420965,1312.366174,Bahrain,22688.9444,22619.11667,23715.48275
Cabo Verde,3043.013984,3130.963385,3295.341106,Italy,30170.5166,30830.92266,32155.20587
Costa Rica,11299.13618,11666.45661,11752.5436,Bolivia,3035.972215,3076.658949,3351.124053
Caribbean small states,9916.666674,9242.035178,9442.912794,Moldova,2179.233625,2272.405707,2724.493093
Cuba,7694.01192,8060.795886,8541.210673,Paraguay,5406.703857,5319.410218,5680.580768
Curacao,19951.3279,19555.36585,19457.53152,Kazakhstan,10510.77189,7714.841844,9030.318806
Cayman Islands,,,56334.21399,Slovenia,20887.51964,21617.57985,23449.57452
Cyprus,23217.48415,24019.13787,25760.7627,Lithuania,14291.90642,14982.53305,16809.64826
Czech Republic,17715.61685,18463.38658,20379.89604,Nicaragua,2049.851415,2107.574238,2168.19124
Germany,41394.65816,42443.46507,44681.08258,Peru,6227.586716,6205.3709,6700.81138
Djibouti,1787.4775,1898.87599,1953.903502,Belarus,5949.106307,5022.626643,5761.74712
Dominica,7597.750446,8070.290917,6951.303542,Poland,12572.32185,12431.57542,13861.05156
Denmark,53254.85059,54467.10143,57218.85196,Malaysia,9799.367531,9671.024717,10117.56903
Dominican Republic,6691.71692,6957.564507,7222.554044,Croatia,11780.13124,12366.82154,13383.6835
Algeria,4177.888966,3948.811897,4048.285258,Libya,4337.919139,4038.970683,5792.06511
East Asia & Pacific (excluding high income),6487.756902,6554.791243,7081.776379,Russia,9313.787542,8745.375116,10750.58712
Early-demographic dividend,3291.528607,3321.457299,3545.022221,Jamaica,4892.897447,4842.045011,5060.544924
East Asia & Pacific,9526.576304,9766.122869,10332.83226,Cyprus,23217.48415,24019.13787,25760.7627
Europe & Central Asia (excluding high income),7517.912478,7161.513553,7979.76034,Algeria,4177.888966,3948.811897,4048.285258
Europe & Central Asia,22499.58775,22330.66314,23512.09436,Turkmenistan,6432.680702,6389.548408,6587.090316
Ecuador,6124.491643,6060.093329,6213.501276,Mauritius,9260.447303,9681.618567,10484.90836
Egypt,3598.970948,3525.020165,2440.510173,Estonia,17412.44867,18228.05825,20200.37559
Euro area,34411.25474,35180.74958,37034.08537,Indonesia,3331.695128,3562.845756,3836.913814
Eritrea,,,,Vietnam,2085.101484,2192.214539,2365.621666
Spain,25817.38661,26622.29914,28208.26105,Turkey,10948.72461,10820.63384,10499.74557
Estonia,17412.44867,18228.05825,20200.37559,Nigeria,2730.430324,2175.99967,1968.559588
Ethiopia,639.3043597,716.8800387,768.0104163,Bhutan,2829.891245,3012.961401,3390.714075
European Union,32265.08171,32379.64746,33864.16606,Azerbaijan,5500.320497,3880.738731,4147.089716
Fragile and conflict affected situations,1604.237236,1505.74078,1645.144457,Pakistan,1356.667731,1368.454326,1466.843096
Finland,42494.65662,43493.41934,45804.65421,Jordan,4097.411436,4109.574819,4168.641604
Fiji,5390.745258,5647.347365,6006.360622,Montenegro,6514.272695,7028.936577,7784.06529
France,36613.37522,36962.22229,38679.12715,China,8033.388043,8078.790474,8759.041578
Faroe Islands,52404.65933,55822.91472,,Zambia,1332.194321,1280.578447,1534.865371
"Micronesia, Fed. Sts.",2894.345011,2993.200563,3018.396899,Romania,8977.498544,9567.097782,10792.95628
Gabon,7381.746749,6979.709196,7212.535744,Serbia,5585.117808,5756.381194,6284.192672
United Kingdom,44472.1517,40539.91961,39932.06029,Portugal,19252.63495,19977.39849,21291.43088
