Country Name,Year,Unemployment,GDP,Tax (% GDP),Happiness
Switzerland,2015,4.801000118,82081.59712,27.595,7.587
Iceland,2015,3.979000092,52428.59576,36.331,7.561
Denmark,2015,6.168000221,53254.85059,46.132,7.527
Norway,2015,4.296000004,74521.56993,38.428,7.522
Canada,2015,6.906000137,43495.05439,32.678,7.427
Finland,2015,9.376000404,42494.65662,43.928,7.406
Netherlands,2015,6.872000217,45175.23189,37.007,7.378
Sweden,2015,7.43200016,50832.55271,43.081,7.364
New Zealand,2015,5.364999771,38559.54704,31.569,7.286
Australia,2015,6.056000233,56748.42026,27.919,7.284
Israel,2015,5.250999928,35855.27504,31.311,7.278
Costa Rica,2015,8.998999596,11299.13618,,7.226
Austria,2015,5.72300005,44176.67174,43.098,7.2
Mexico,2015,4.313000202,9605.952351,15.933,7.187
United States,2015,5.28000021,56803.47243,26.235,7.119
Brazil,2015,8.437000275,8814.000987,,6.983
Luxembourg,2015,6.669000149,100428.368,37.092,6.946
Ireland,2015,9.904000282,61908.79453,23.106,6.94
Belgium,2015,8.482000351,40441.05204,44.813,6.937
United Arab Emirates,2015,1.835999966,38663.38381,,6.901
United Kingdom,2015,5.301000118,44472.1517,32.156,6.867
Venezuela,2015,6.820000172,,,6.81
Singapore,2015,3.789999962,55646.61875,,6.798
Panama,2015,3.002000093,13630.30797,,6.786
Germany,2015,4.624000072,41394.65816,36.992,6.75
Chile,2015,6.507999897,13574.1715,20.383,6.67
Qatar,2015,0.159999996,63039.01655,,6.611
France,2015,10.35900021,36613.37522,45.281,6.575
Argentina,2015,7.643000126,13789.06042,,6.574
Czech Republic,2015,5.046000004,17715.61685,33.347,6.505
Uruguay,2015,7.487999916,15613.76427,,6.485
Colombia,2015,8.298999786,6175.87603,,6.477
Thailand,2015,0.597000003,5840.046948,,6.455
Saudi Arabia,2015,5.590000153,20627.93278,,6.411
Spain,2015,22.05699921,25817.38661,33.593,6.329
Malta,2015,5.390999794,24046.27535,,6.302
Kuwait,2015,2.200000048,29869.52939,,6.295
Trinidad and Tobago,2015,2.210999966,18332.49031,,6.168
El Salvador,2015,4,3705.577946,,6.13
Guatemala,2015,2.506000042,3923.573344,,6.123
Uzbekistan,2015,5.150000095,2615.025134,,6.003
Japan,2015,3.400000095,34524.46986,30.63,5.987
Korea,2015,3.599999905,27105.07623,,5.984
Ecuador,2015,3.615999937,6124.491643,,5.975
Bahrain,2015,1.075999975,22688.9444,,5.96
Italy,2015,11.89599991,30170.5166,43.112,5.948
Bolivia,2015,3.065999985,3035.972215,,5.89
Moldova,2015,3.694000006,2179.233625,,5.889
Paraguay,2015,4.556000233,5406.703857,,5.878
Kazakhstan,2015,4.929999828,10510.77189,,5.855
Slovenia,2015,8.961999893,20887.51964,36.353,5.848
Lithuania,2015,9.119999886,14291.90642,,5.833
Nicaragua,2015,4.396999836,2049.851415,,5.828
Peru,2015,3,6227.586716,,5.824
Belarus,2015,5.913000107,5949.106307,,5.813
Poland,2015,7.500999928,12572.32185,32.367,5.791
Malaysia,2015,3.099999905,9799.367531,,5.77
Croatia,2015,16.17499924,11780.13124,,5.759
Libya,2015,16.09499931,4337.919139,,5.754
Russia,2015,5.571000099,9313.787542,,5.716
Jamaica,2015,13.51099968,4892.897447,,5.709
Cyprus,2015,14.90799999,23217.48415,,5.689
Algeria,2015,11.20600033,4177.888966,,5.605
Turkmenistan,2015,3.839999914,6432.680702,,5.548
Mauritius,2015,7.409999847,9260.447303,,5.477
Estonia,2015,6.186999798,17412.44867,33.307,5.429
Indonesia,2015,4.513999939,3331.695128,,5.399
Vietnam,2015,1.858999968,2085.101484,,5.36
Turkey,2015,10.23600006,10948.72461,25.088,5.332
Nigeria,2015,5.313000202,2730.430324,,5.268
Bhutan,2015,2.450000048,2829.891245,,5.253
Azerbaijan,2015,4.960000038,5500.320497,,5.212
Pakistan,2015,3.565999985,1356.667731,,5.194
Jordan,2015,13.07499981,4097.411436,,5.192
Montenegro,2015,17.54400063,6514.272695,,5.192
China,2015,4.599999905,8033.388043,,5.14
Zambia,2015,7.446000099,1332.194321,,5.129
Romania,2015,6.811999798,8977.498544,,5.124
Serbia,2015,17.92099953,5585.117808,,5.123
Portugal,2015,12.44400024,19252.63495,34.447,5.102
Latvia,2015,9.873000145,13639.69412,29.221,5.098
Philippines,2015,3.026000023,2867.15199,,5.073
Morocco,2015,9.460000038,2875.257985,,5.013
Albania,2015,17.07999992,3952.830781,,4.959
Bosnia and Herzegovina,2015,27.64999962,4727.277546,,4.949
Dominican Republic,2015,7.605000019,6691.71692,,4.885
Mongolia,2015,4.861000061,3918.579174,,4.874
Greece,2015,24.89699936,18167.77372,36.584,4.857
Lebanon,2015,6.232999802,7649.832611,,4.839
Hungary,2015,6.813000202,12503.68207,38.709,4.8
Honduras,2015,4.592000008,2286.200039,,4.788
Tajikistan,2015,11.35000038,929.0958572,,4.786
Tunisia,2015,15.21800041,3859.814436,,4.739
Bangladesh,2015,4.415999889,1248.453398,,4.694
Iran,2015,11.06000042,4916.085938,,4.686
Ukraine,2015,9.140000343,2124.662666,,4.681
Iraq,2015,8.079000473,4989.803075,,4.677
South Africa,2015,25.15600014,5733.122569,,4.642
Ghana,2015,6.806000233,1766.005701,,4.633
Zimbabwe,2015,5.438000202,1445.071062,,4.61
Liberia,2015,2.184000015,710.3838577,,4.571
India,2015,2.782000065,1605.605431,,4.565
Sudan,2015,13.15499973,2486.745659,,4.55
Haiti,2015,13.72399998,815.7282844,,4.518
Nepal,2015,1.42900002,792.5528906,,4.514
Ethiopia,2015,2.013999939,639.3043597,,4.512
Sierra Leone,2015,4.75,588.2284527,,4.507
Mauritania,2015,10.78899956,1194.312515,,4.436
Kenya,2015,9.675000191,1336.883349,,4.419
Armenia,2015,18.26099968,3607.296697,,4.35
Botswana,2015,17.95599937,6799.875234,,4.332
Myanmar,2015,0.765999973,1133.002816,,4.307
Georgia,2015,14.07999992,3756.383768,,4.297
Malawi,2015,5.785999775,380.5970331,,4.292
Sri Lanka,2015,4.670000076,3843.780672,,4.271
Cameroon,2015,3.539000034,1326.969277,,4.252
Bulgaria,2015,9.142999649,6993.783483,,4.218
Egypt,2015,13.05200005,3598.970948,,4.194
Yemen,2015,14.02299976,1608.744312,,4.077
Angola,2015,7.278999805,4166.979684,,4.033
Mali,2015,7.729000092,751.1704966,,3.995
Congo,2015,4.173999786,497.3169608,,3.989
Uganda,2015,1.870000005,709.0210386,,3.931
Senegal,2015,6.756999969,1218.764246,,3.904
Gabon,2015,19.98600006,7381.746749,,3.896
Niger,2015,0.298999995,360.8533841,,3.845
Cambodia,2015,1.19599998,1162.90492,,3.819
Tanzania,2015,2.122999907,947.9334465,,3.781
Madagascar,2015,1.799999952,402.0883118,,3.681
Chad,2015,2.171999931,775.7075235,,3.667
Guinea,2015,4.210999966,769.2560137,,3.656
Burkina Faso,2015,6.703999996,575.3144542,,3.587
Afghanistan,2015,1.67900002,578.4663529,,3.575
Rwanda,2015,1.098999977,728.0817574,,3.465
Benin,2015,2.463000059,783.9630778,,3.34
Syria,2015,8.392000198,,,3.006
Burundi,2015,1.592000008,305.5497728,,2.905
Togo,2015,1.692000031,570.6807371,,2.839
Switzerland,2016,4.918000221,80037.50304,27.763,7.509
Iceland,2016,2.977999926,61757.94931,51.595,7.501
Denmark,2016,6.181000233,54467.10143,46.189,7.526
Norway,2016,4.678999901,70941.52527,38.699,7.498
Canada,2016,6.999000072,42279.90082,32.713,7.404
Finland,2016,8.81799984,43493.41934,44.017,7.413
Netherlands,2016,6.006000042,46007.85292,38.401,7.339
Sweden,2016,6.989999771,51617.54035,44.044,7.291
New Zealand,2016,5.099999905,40026.8522,31.574,7.334
Australia,2016,5.710999966,50019.96777,27.758,7.313
Israel,2016,4.797999859,37371.62691,31.289,7.267
Costa Rica,2016,8.597999573,11666.45661,,7.087
Austria,2016,6.013999939,45103.32981,42.233,7.119
Mexico,2016,3.858999968,8739.142471,16.634,6.778
United States,2016,4.868999958,57904.20196,25.888,7.104
Brazil,2016,11.60900021,8712.887044,,6.952
Luxembourg,2016,6.290999889,101305.5277,38.146,6.871
Ireland,2016,8.366000175,63558.69793,23.328,6.907
