Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24250612199,25646905182,31355872126,51882246429,66593592311,75823714798,79297407099,81114839641,80965841103,92750755157,1.1621E+11,1.27241E+11,
Angola,AGO,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2797837874,26311270993,57648356492,1.03353E+11,2.282E+11,3.5563E+11,5.51316E+11,9.8446E+11,1.07632E+12,1.70403E+12,1.02406E+12,1.27847E+12,1.69101E+12,1.81207E+12,1.87168E+12,1.93983E+12,1.53481E+12,1.61069E+12,1.86895E+12,
Albania,ALB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30167000000,29629954000,32817102000,56068290000,,,,1.00635E+11,1.16545E+11,1.3252E+11,,,,,,,2.34399E+11,2.33018E+11,2.22803E+11,2.55368E+11,2.65573E+11,2.59012E+11,2.92878E+11,
Andorra,AND,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872000000,2990000000,3481000000,,,,,,,,,,,,4139235255,5004550467,5307334205,5266555943,759347330.5,570323390.7,941124350.7,
Argentina,ARG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334800000,9059800000,12573700000,18956200000,20920700000,20782800000,22239500000,25449700000,26996600000,25732900000,27347800000,25055700000,30692100000,47059282177,63553873916,76331000000,92200500000,1.11659E+11,1.53108E+11,1.54532E+11,2.13582E+11,2.75944E+11,3.41685E+11,4.16962E+11,5.77467E+11,7.34579E+11,9.95384E+11,1.16619E+12,
Armenia,ARM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67044E+11,3.21532E+11,3.82385E+11,5.02705E+11,6.1808E+11,5.18557E+11,5.90658E+11,6.5054E+11,7.46274E+11,9.8339E+11,1.04294E+12,1.05569E+12,1.07819E+12,1.15634E+12,
American Samoa,ASM,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,7948000000,8479000000,10900000000,14162000000,16920000000,19755000000,21438000000,23477000000,27478000000,32700000000,37961000000,41131000000,44902000000,52971000000,58840000000,66469000000,75073000000,83393000000,90774000000,92737000000,87365000000,88759000000,93359000000,1.04919E+11,1.15698E+11,1.24557E+11,1.30981E+11,1.39378E+11,1.52575E+11,1.75011E+11,1.77463E+11,1.94826E+11,2.0956E+11,2.29128E+11,2.45218E+11,2.61979E+11,2.85659E+11,2.78E+11,2.67161E+11,2.88066E+11,3.17864E+11,3.38369E+11,3.51512E+11,3.57403E+11,3.69914E+11,3.8978E+11,
Austria,AUT,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,6629215933,7642275241,8794139663,9132068342,10004142352,11143652391,12296243541,13324564145,14333263083,15579602189,16073050733,16977100790,18747411030,18887669600,19748115957,20216129009,22209544850,22788020610,24732745652,26790113588,29476101538,30472446095,30995690501,43445940000,47351170000,50573650000,52797300000,54280970000,56018470000,61671100000,61162960000,61784320000,63758610000,64824590000,67091210000,72107670000,76605820000,72659580000,74807510000,78859470000,82620990000,85561440000,88010190000,92354240000,90899630000,93880800000,
Azerbaijan,AZE,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95770200,383104000,269173600,337742600,436245200,480700800,,,,,,,,,6591000000,5022200000,5162800000,6366900000,6995500000,7789600000,8387400000,8485000000,8795200000,9259300000,
Burundi,BDI,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32087000000,34117000000,34023000000,36498000000,41673000000,35358000000,39149000000,55444890000,59956350000,,,,,,,,,,,3.46544E+11,4.37923E+11,4.8792E+11,5.14221E+11,,,,,
Belgium,BEL,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53932400000,55778700000,59537100000,63187700000,65446200000,69926000000,70806100000,70260500000,70515500000,75801700000,78970700000,82223500000,85178100000,88826300000,82384200000,88839500000,93682100000,99605100000,1.02755E+11,1.05017E+11,1.01243E+11,97956000000,1.03921E+11,
Benin,BEN,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,21791000000,23905000000,25697000000,27225000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42778E+11,2.71103E+11,3.24604E+11,3.38646E+11,3.6868E+11,4.11682E+11,4.44671E+11,4.94579E+11,5.6575E+11,6.95634E+11,8.90778E+11,9.9261E+11,9.40682E+11,9.28991E+11,1.0753E+12,1.25005E+12,
Bangladesh,BGD,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92608E+11,2.10297E+11,2.42612E+11,2.70086E+11,3.04746E+11,3.39725E+11,3.80311E+11,4.81321E+11,5.28671E+11,6.24846E+11,7.95482E+11,9.52276E+11,1.07452E+12,1.16031E+12,1.28818E+12,1.51886E+12,,
Bulgaria,BGR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10818000,30307000,33942000,45474000,111632000,156395000,299309000,2813728000,4269325000,4228466000,4792168000,5311283000,5210915000,7243942000,8674727000,9548149000,11235579000,14522003000,16136459000,13891750000,13795981000,14326025000,15568663000,16285659000,16353623000,17893405000,18864621000,20294916000,
Bahrain,BHR,Tax revenue (current LCU),GC.TAX.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82500000,87500000,96300000,104600000,108300000,105500000,115700000,121700000,131700000,124800000,127200000,138500000,129100000,137700000,208500000,69760000,81140000,93560000,119470000,117570000,113720000,120551492.1,,130900000,,,,,
