"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","MLN_USD","A","2000",124.385,
"AUS","TAXREV","TOT","MLN_USD","A","2001",112.734,
"AUS","TAXREV","TOT","MLN_USD","A","2002",129.63,
"AUS","TAXREV","TOT","MLN_USD","A","2003",167.359,
"AUS","TAXREV","TOT","MLN_USD","A","2004",205.416,
"AUS","TAXREV","TOT","MLN_USD","A","2005",227.514,
"AUS","TAXREV","TOT","MLN_USD","A","2006",240.492,
"AUS","TAXREV","TOT","MLN_USD","A","2007",290.788,
"AUS","TAXREV","TOT","MLN_USD","A","2008",282.305,
"AUS","TAXREV","TOT","MLN_USD","A","2009",259.115,
"AUS","TAXREV","TOT","MLN_USD","A","2010",328.349,
"AUS","TAXREV","TOT","MLN_USD","A","2011",400.524,
"AUS","TAXREV","TOT","MLN_USD","A","2012",427.972,
"AUS","TAXREV","TOT","MLN_USD","A","2013",418.12,
"AUS","TAXREV","TOT","MLN_USD","A","2014",399.343,
"AUS","TAXREV","TOT","MLN_USD","A","2015",348.153,
"AUS","TAXREV","TOT","MLN_USD","A","2016",362.049,
"AUT","TAXREV","TOT","MLN_USD","A","2000",83.241,
"AUT","TAXREV","TOT","MLN_USD","A","2001",86.671,
"AUT","TAXREV","TOT","MLN_USD","A","2002",91.238,
"AUT","TAXREV","TOT","MLN_USD","A","2003",111.087,
"AUT","TAXREV","TOT","MLN_USD","A","2004",126.337,
"AUT","TAXREV","TOT","MLN_USD","A","2005",129.503,
"AUT","TAXREV","TOT","MLN_USD","A","2006",135.839,
"AUT","TAXREV","TOT","MLN_USD","A","2007",157.63,
"AUT","TAXREV","TOT","MLN_USD","A","2008",177.77,
"AUT","TAXREV","TOT","MLN_USD","A","2009",163.992,
"AUT","TAXREV","TOT","MLN_USD","A","2010",160.51,
"AUT","TAXREV","TOT","MLN_USD","A","2011",177.319,
"AUT","TAXREV","TOT","MLN_USD","A","2012",171.067,
"AUT","TAXREV","TOT","MLN_USD","A","2013",183.326,
"AUT","TAXREV","TOT","MLN_USD","A","2014",188.738,
"AUT","TAXREV","TOT","MLN_USD","A","2015",164.7,
"AUT","TAXREV","TOT","MLN_USD","A","2016",165.001,
"AUT","TAXREV","TOT","MLN_USD","A","2017",174.087,
"BEL","TAXREV","TOT","MLN_USD","A","2000",103.607,
"BEL","TAXREV","TOT","MLN_USD","A","2001",103.433,
"BEL","TAXREV","TOT","MLN_USD","A","2002",113.097,
