Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
aruba,1960,,,,46468
afghanistan,1960,,,,48901
angola,1960,,,,430447
albania,1960,,,,2384
andorra,1960,,,,2497
arab world,1960,,,,122089
united arab emirates,1960,,,,4868
argentina,1960,,,,2601188
armenia,1960,,,,
american samoa,1960,,,,7893
antigua and barbuda,1960,,,,1698085
australia,1960,3063.554271,,,806643
austria,1960,1546.261468,,,
azerbaijan,1960,,,,11331
burundi,1960,,,0,26733
belgium,1960,2519.49732,,,661411
benin,1960,,,,9760
burkina faso,1960,,,,
bangladesh,1960,,,,441555
bulgaria,1960,,,,7621
bahrain,1960,,,,34019
"bahamas, the",1960,,,,8749
bosnia and herzegovina,1960,,,,9676
belarus,1960,,,,42709
belize,1960,,,,..
bermuda,1960,,,,7199
bolivia,1960,,,,1397119
brazil,1960,,,,651
barbados,1960,,,,20562
brunei darussalam,1960,,,,20295
bhutan,1960,,,,62943
botswana,1960,,,0,126323
central african republic,1960,,,,6613
canada,1960,4251.435911,,,381271
central europe and the baltics,1960,,,,175430
switzerland,1960,1398.654836,,,2766304
channel islands,1960,,,,957
chile,1960,,,,43128
china,1960,,,,55072
cote d'ivoire,1960,,,,33482
cameroon,1960,,,,104805
"congo, dem. rep.",1960,,,,245684
"congo, rep.",1960,,,,58675
colombia,1960,,,,1507
comoros,1960,,,,1006930
cabo verde,1960,,,,26315
costa rica,1960,,,,32693
caribbean small states,1960,,,,767019
cuba,1960,,,,..
curacao,1960,,,,143616
cayman islands,1960,,,,..
cyprus,1960,,,,29589
czech republic,1960,,,,..
germany,1960,1952.588632,,,93989
djibouti,1960,,,,11766
dominica,1960,,,,2390
denmark,1960,1922.973673,,,144583
dominican republic,1960,,,,24061
algeria,1960,,,,212376
east asia & pacific (excluding high income),1960,,,,34446
early-demographic dividend,1960,,,,19351
east asia & pacific,1960,,,,7703
europe & central asia (excluding high income),1960,,,,..
europe & central asia,1960,,,,16944
ecuador,1960,,,,393260
"egypt, arab rep.",1960,,,,1489
euro area,1960,1403.942847,,,20078
eritrea,1960,,,,32084
spain,1960,530.6648498,,,3507213
estonia,1960,,,,3665
ethiopia,1960,,,,20865
european union,1960,1721.272303,,,31551
fragile and conflict affected situations,1960,,,,..
finland,1960,2196.953067,,,..
fiji,1960,,,,529720
france,1960,1699.251565,,,6765
faroe islands,1960,,,,52495
"micronesia, fed. sts.",1960,,,,2591
gabon,1960,,,,4011
united kingdom,1960,3033.050649,,,31001
georgia,1960,,,,43309
ghana,1960,,,,11313
gibraltar,1960,,,,11643
guinea,1960,,,,14035
"gambia, the",1960,,,,14533
guinea-bissau,1960,,,,60024
equatorial guinea,1960,,,,1627488
greece,1960,289.057068,,,518137
grenada,1960,,,0,3317
greenland,1960,,,,9410535
guatemala,1960,,,,1859466
guam,1960,,,,48374
guyana,1960,,,,87752
high income,1960,2764.766596,,,73019
"hong kong sar, china",1960,,,,22192
honduras,1960,,,,1185573
heavily indebted poor countries (hipc),1960,,,,459553
croatia,1960,,,,21904
haiti,1960,,,,692651
hungary,1960,,,,385789
ibrd only,1960,,,,..
ida & ibrd total,1960,,,,59330
ida total,1960,,,,610
ida blend,1960,,,,25072
indonesia,1960,,,,135551
ida only,1960,,,,..
isle of man,1960,,,,90629
india,1960,,,,..
not classified,1960,,,,19646
ireland,1960,1318.812487,,,..
"iran, islamic rep.",1960,,,,151443
iraq,1960,,,,3165
iceland,1960,3082.711563,,,28811
israel,1960,,,,48210
italy,1960,794.8160447,,,4070
jamaica,1960,,,,..
jordan,1960,,,,46372
japan,1960,873.9103148,,,79831
kazakhstan,1960,,,,126298
kenya,1960,,,,297710
kyrgyz republic,1960,,,,56895
cambodia,1960,,,,1703
kiribati,1960,,,,167597
st. kitts and nevis,1960,,,,1712
"korea, rep.",1960,,,,846
kuwait,1960,,,,12058
latin america & caribbean (excluding high income),1960,,,,10238
lao pdr,1960,,,,223245
lebanon,1960,,,,5848
liberia,1960,,,,..
libya,1960,,,,15380
st. lucia,1960,,,,3684
latin america & caribbean,1960,,,,..
least developed countries: un classification,1960,,,,394340
low income,1960,,,,8949
liechtenstein,1960,,,,286559
sri lanka,1960,,,,27218
lower middle income,1960,,,,410
low & middle income,1960,,,,337636
lesotho,1960,,,,446620
late-demographic dividend,1960,,,,10979
lithuania,1960,,,,333859
luxembourg,1960,10523.40669,,,12384
latvia,1960,,,,55008
"macao sar, china",1960,,,,94133
st. martin (french part),1960,,,,..
morocco,1960,,,,2648
monaco,1960,,,,61591
moldova,1960,,,,43656
madagascar,1960,,,,6350296
maldives,1960,,,0,318
middle east & north africa,1960,,,,68320
mexico,1960,,,,20189
marshall islands,1960,,,,50010
middle income,1960,,,,66524
north macedonia,1960,,,,219676
mali,1960,,,,2424881
malta,1960,,,,38899
myanmar,1960,,,,64063
middle east & north africa (excluding high income),1960,,,,14400
montenegro,1960,,,,330878
mongolia,1960,,,,..
northern mariana islands,1960,,,,28531
mozambique,1960,,,,3430
mauritania,1960,,,,7527
mauritius,1960,,,,7436
malawi,1960,,,,63389
malaysia,1960,,,,168020
north america,1960,5516.355617,,,..
namibia,1960,,,,845
new caledonia,1960,,,,45915
niger,1960,,,,519246
nigeria,1960,,,,..
nicaragua,1960,,,,..
netherlands,1960,1825.934253,,,..
norway,1960,1906.17493,,,3715
nepal,1960,,,,11356
nauru,1960,,,,927656
new zealand,1960,1685.788431,,,..
oecd members,1960,2669.757013,,,210897
oman,1960,,,,1005317
other small states,1960,,,,3537
pakistan,1960,,,,2448
panama,1960,,,,..
peru,1960,,,,2494
philippines,1960,,,,241992
palau,1960,,,,22463
papua new guinea,1960,,,,295618
poland,1960,1827.936816,,,714235
pre-demographic dividend,1960,,,,276050
puerto rico,1960,,,,..
"korea, dem. people’s rep.",1960,,,,477027
portugal,1960,336.9136017,,,484839
paraguay,1960,,,,7148
west bank and gaza,1960,,,,101291
pacific island small states,1960,,,,121
post-demographic dividend,1960,2815.498457,,,81018
french polynesia,1960,,,,169202
qatar,1960,,,,947635
romania,1960,,,,..
russian federation,1960,,,,180
rwanda,1960,,,,372
south asia,1960,,,,771730
saudi arabia,1960,,,,..
sudan,1960,0,,,2194
senegal,1960,,,,1661888
singapore,1960,,,,10825599
solomon islands,1960,,,,192155
sierra leone,1960,,,,..
el salvador,1960,,,,2832
san marino,1960,,,,509504
somalia,1960,,,,4010
serbia,1960,,,,12069
sub-saharan africa (excluding high income),1960,,,,..
south sudan,1960,,,,159146
sub-saharan africa,1960,,,,360835
small states,1960,,,,387173
sao tome and principe,1960,,,,3324685
suriname,1960,,,,187880
slovak republic,1960,,,,3294191
slovenia,1960,,,,30137637
sweden,1960,2698.792303,,,8810669
eswatini,1960,,,,3654785
sint maarten (dutch part),1960,,,,3627647
seychelles,1960,,,,6146651
syrian arab republic,1960,,,0,13362297
turks and caicos islands,1960,,,,1347709
chad,1960,,,,3772590
east asia & pacific (ida & ibrd countries),1960,,,,11492337
europe & central asia (ida & ibrd countries),1960,,,,4635265
togo,1960,,,0,6384593
thailand,1960,,,0,32761862
tajikistan,1960,,,,25874835
turkmenistan,1960,,,,41342509
latin america & the caribbean (ida & ibrd countries),1960,,,,7161732
timor-leste,1960,,,,8305942
middle east & north africa (ida & ibrd countries),1960,,,,15467674
tonga,1960,,,,7702020
south asia (ida & ibrd),1960,,,,6097596
sub-saharan africa (ida & ibrd countries),1960,,,,5535989
trinidad and tobago,1960,,,,5847076
tunisia,1960,,,,6763999
turkey,1960,389.1137433,,,39123084
tuvalu,1960,,,,4763013
tanzania,1960,,,,23653848
uganda,1960,,,,4293431
ukraine,1960,,,,2865145
upper middle income,1960,,,,2374895
uruguay,1960,,,,34360071
united states,1960,5641.740755,,,13600652
uzbekistan,1960,,,,..
st. vincent and the grenadines,1960,,,,30802313
"venezuela, rb",1960,,,,298708
british virgin islands,1960,,,,38580
virgin islands (u.s.),1960,,,,28246654
vietnam,1960,,,,5671764
vanuatu,1960,,,,525168
world,1960,,,,17823042
samoa,1960,,,,17823042
kosovo,1960,,,,7897259
"yemen, rep.",1960,,,,7896414
south africa,1960,,,,7897259
zambia,1960,,,,10706223
zimbabwe,1960,,,,71884946
aruba,1961,,,,
afghanistan,1961,,,,
angola,1961,,,,
albania,1961,,,,
andorra,1961,,,,
arab world,1961,,,,
united arab emirates,1961,,,,
argentina,1961,,,,
armenia,1961,,,,
american samoa,1961,,,,
antigua and barbuda,1961,,,,
australia,1961,3115.787084,,,
austria,1961,1554.034906,,,
azerbaijan,1961,,,,
burundi,1961,,,,
belgium,1961,2570.815623,,,
benin,1961,,,,
burkina faso,1961,,,,
bangladesh,1961,,,,
bulgaria,1961,,,,
bahrain,1961,,,,
"bahamas, the",1961,,,,
bosnia and herzegovina,1961,,,,
belarus,1961,,,,
belize,1961,,,,
bermuda,1961,,,,
bolivia,1961,,,,
brazil,1961,,,,
barbados,1961,,,,
brunei darussalam,1961,,,,
bhutan,1961,,,,
botswana,1961,,,,
central african republic,1961,,,,
canada,1961,4307.820754,,,
central europe and the baltics,1961,,,,
switzerland,1961,1454.755116,,,
channel islands,1961,,,,
chile,1961,,,,
china,1961,,,,
cote d'ivoire,1961,,,,
cameroon,1961,,,,
"congo, dem. rep.",1961,,,,
"congo, rep.",1961,,,,
colombia,1961,,,,
comoros,1961,,,,
cabo verde,1961,,,,
costa rica,1961,,,,
caribbean small states,1961,,,,
cuba,1961,,,,
curacao,1961,,,,
cayman islands,1961,,,,
cyprus,1961,,,,
czech republic,1961,,,,
germany,1961,1994.324633,,,
djibouti,1961,,,,
dominica,1961,,,,
denmark,1961,2023.30839,,,
dominican republic,1961,,,,
algeria,1961,,,,
east asia & pacific (excluding high income),1961,,,,
early-demographic dividend,1961,,,,
east asia & pacific,1961,,,,
europe & central asia (excluding high income),1961,,,,
europe & central asia,1961,,,,
ecuador,1961,,,,
