Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,0.2,,
Angola,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,6.4,,
Albania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,7.5,,
Andorra,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,11.3,,
Arab World,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67143238,,,,,,0.619670751,,
United Arab Emirates,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,3.8,,
Argentina,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,9.8,,
Armenia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,5.5,,
American Samoa,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,7,,
Australia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,10.6,,
Austria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,11.6,,
Azerbaijan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,0.8,,
Burundi,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,7.5,,
Belgium,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,12.1,,
Benin,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,3,,
Burkina Faso,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,8.2,,
Bangladesh,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,0,,
Bulgaria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,12.7,,
Bahrain,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,1.9,,
"Bahamas, The","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,4.4,,
Bosnia and Herzegovina,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,6.4,,
Belarus,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,11.2,,
Belize,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,6.8,,
Bermuda,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,4.8,,
Brazil,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,7.8,,
Barbados,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,9.6,,
Brunei Darussalam,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.4,,
Bhutan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,0.6,,
