Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,637.4590553,663.4527487,635.7876189,624.1106106,586.6904897,559.4544907,532.94946,566.9521393,555.7454412,547.0445875,531.5891101,506.0593436,501.9049167,489.327132,500.9248648,489.1116966,483.6244825,486.0376489,480.0942,496.5364903,491.8025707,478.585592,479.8198462,470.9386217,455.6660547,454.055176,449.2544499,433.8824947,441.1632188,438.5500193,442.9788396,448.2617201,467.6440593,464.8078475,433.5725307,458.7941648,471.6941772,491.9786165,515.2171193,520.9623584,521.7806814,552.3636336,533.7610097,544.6093222,,,,
Albania,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,785.1615259,865.5924812,762.7253617,776.934749,826.952081,890.9533599,923.7288675,1010.819221,864.1994597,1149.536096,989.2001485,966.6832838,1000.122013,1018.263142,916.5551906,963.9271695,921.893044,927.7445187,896.4377624,813.2556955,572.781844,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.5949583,426.6828191,576.1836323,580.4947642,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781,706.8594077,679.8617651,710.7484985,732.3166818,729.1543727,764.9686166,687.8962599,801.329975,808.4558396,,,,
Andorra,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,408.343718,412.7256819,442.9822008,459.8052513,484.2815132,525.4178134,562.1145042,628.0942076,730.1944379,794.456502,887.2455547,958.4312296,1001.761269,994.3265716,1019.487472,1035.92493,1090.478248,1151.63341,1178.467566,1080.312402,1093.3042,1147.938781,1181.730222,1212.739817,1266.258371,1287.891136,1307.664691,1297.943007,1282.566212,1284.964169,1351.659471,1387.55357,1379.588735,1428.552951,1483.609005,1550.244389,1581.776568,1666.034418,1712.024615,1772.404084,1738.294881,1848.883591,1805.698744,1961.366524,,,,
United Arab Emirates,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,3647.083839,3175.802329,3306.778098,2869.173453,3533.444221,3857.614254,5585.63883,5709.461789,5977.205234,7093.691179,8089.502193,8299.109895,7582.074778,9333.63808,10040.81501,10774.6671,11281.11111,10905.98046,11871.72021,11170.26337,12124.94935,10890.46764,10820.09388,11355.42466,11463.22539,11511.7824,11558.55141,11223.95986,10870.4472,10057.93504,12172.42399,11462.47575,10568.8275,10286.82068,9698.2879,8716.289692,8127.945004,8367.15153,7572.354438,7215.218899,7190.970335,7481.193875,7604.839686,7648.399884,,,,
Argentina,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,1387.005189,1387.082272,1420.335931,1425.813346,1389.270131,1416.108614,1432.138817,1438.345456,1496.103496,1498.781461,1440.780224,1426.35137,1429.280426,1456.769093,1368.43342,1428.876297,1483.771974,1510.833246,1446.657868,1412.179829,1435.484658,1489.347594,1474.306546,1548.623258,1551.745125,1589.917647,1621.909504,1658.495404,1668.225144,1669.526745,1570.897164,1510.313202,1598.789541,1728.214003,1720.673713,1853.041666,1858.392218,1937.641467,1865.337264,1928.652357,1952.051053,1936.80354,1967.021678,2029.922825,,,,
Armenia,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.54366,2317.914116,1199.772454,651.9368394,419.8214983,511.172245,562.1609099,594.2496367,609.9961173,593.5412567,656.308935,657.4732183,618.4547152,656.481657,698.0841265,842.6975224,864.8831916,972.7983665,1033.171827,903.7004361,863.0259627,944.0403708,1029.943531,1000.958385,1015.909886,,,,
American Samoa,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.532114,,,,,,,,,,,,,,1680.442143,1681.703799,1729.057845,1737.557423,,,,,,,,,,,
Australia,Energy use (kg of oil equivalent per capita),3063.554271,3115.787084,3172.974865,3284.050959,3349.414167,3463.215578,3546.53798,3692.80795,3763.558415,3792.934763,4063.41137,3989.629744,4035.206344,4264.271226,4294.161626,4345.871446,4405.702986,4671.195674,4629.618471,4683.853176,4737.482031,4694.676425,4817.489524,4555.146203,4651.712429,4602.95653,4623.739075,4772.370465,4702.841606,5001.103102,5061.508459,4927.78159,4959.214919,5147.53665,5089.788967,5129.223661,5393.580635,5469.599989,5553.653466,5610.344711,5644.064951,5446.973214,5569.640992,5568.764941,5598.088178,5564.087169,5709.344668,5868.347097,5964.665776,5862.551944,5793.116026,5745.23219,5575.287093,5468.391369,5334.681679,5483.816402,,,
Austria,Energy use (kg of oil equivalent per capita),1546.261468,1554.034906,1675.873621,1823.995225,1855.085155,1851.843564,1902.756408,1920.212124,2045.828123,2181.632309,2418.210129,2508.520919,2627.322496,2830.946802,2730.437326,2654.848729,2866.97592,2797.421922,2893.022299,3138.916143,3067.01192,2897.009398,2830.221781,2843.405568,2953.68815,3051.597062,3061.588862,3174.745392,3204.562182,3138.983488,3240.111359,3415.173082,3245.592076,3255.784704,3234.492985,3373.603565,3580.420798,3550.404171,3606.610379,3591.809466,3570.498826,3758.457569,3773.651728,3973.624327,4007.569904,4085.567651,4078.812226,4019.59017,4032.148426,3798.151168,4051.19602,3921.900515,3886.767732,3919.044419,3763.327903,3800.29942,,,
Azerbaijan,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165.494902,3087.874708,2464.597399,2175.284456,1947.691984,1809.154327,1513.673193,1444.319459,1485.153418,1369.111898,1403.433268,1410.965455,1414.528111,1476.590884,1539.230121,1599.960676,1559.568746,1411.55734,1520.313919,1334.166178,1279.552594,1369.350999,1472.897391,1474.003433,1502.078168,,,,
Burundi,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Energy use (kg of oil equivalent per capita),2519.49732,2570.815623,2810.061148,3043.306993,3021.647212,3116.033563,3051.297429,3182.923458,3590.004258,3877.044364,4135.19977,4099.95532,4473.929513,4720.784112,4617.498595,4317.935658,4622.233118,4589.52441,4826.564957,4976.777099,4743.42206,4415.358604,4208.257802,4156.257407,4334.902427,4474.062993,4633.920017,4727.686395,4770.948398,4798.926451,4809.867268,5006.004706,5040.67044,4902.269974,5186.186627,5267.670671,5536.471275,5523.459164,5603.160264,5612.714676,5669.358176,5634.215487,5390.719733,5590.025976,5592.98875,5555.615784,5470.491824,5336.963212,5454.667159,5196.581983,5539.472223,5092.316147,4845.488295,4997.463306,4708.221218,4687.787049,,,
Benin,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,371.2250199,380.2781407,379.7217115,379.0357193,380.8560976,360.2356377,363.6214303,368.1821303,364.6680997,363.8660108,353.4627636,355.6674442,355.4604278,353.9365077,360.5617949,353.5729092,348.1392369,346.6230045,337.9924465,333.6981691,327.5398247,324.147385,320.3536624,316.2935624,312.7613005,352.9201827,355.2383383,340.2016764,344.5618597,288.7684459,297.9547201,310.0397319,317.1983983,321.355318,313.1063081,358.898499,379.2277351,376.8594656,384.4470943,397.1363346,396.7712135,399.6765218,406.2482133,416.790498,,,,
Burkina Faso,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,86.76524206,88.14653443,93.92631576,95.45436209,96.00967803,99.85994743,99.70556296,100.4137811,101.5859669,105.5050816,104.8616067,107.9161857,107.6724676,106.4292498,109.635119,114.3357127,109.6349273,117.3988645,120.1679555,123.4619803,118.8982651,122.7269533,126.7989123,129.6307997,138.0581372,135.9485274,139.0510867,141.9769753,140.9798642,143.0538148,153.5600686,154.3926518,159.8949973,160.2451037,163.9427353,173.3027516,178.8510427,185.5821114,193.0731142,206.7611594,212.0573715,219.9696404,222.0566618,229.2464129,,,,
Bulgaria,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,2228.687051,2262.786549,2378.253739,2463.244052,2665.45943,2780.331763,2954.266739,3084.452042,3200.498984,3203.610097,3185.509537,3309.206425,3370.132324,3387.274223,3419.767677,3450.941716,3411.073395,3488.292754,3426.942205,3237.35265,2536.644005,2396.007266,2590.011252,2519.859145,2746.667734,2745.710003,2504.12268,2425.946246,2230.660301,2277.367967,2421.145361,2410.969355,2490.416673,2440.69816,2597.896167,2691.460438,2666.111445,2648.867056,2351.655053,2416.703907,2617.127869,2513.352381,2329.122801,2477.655401,,,,
Bahrain,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,6394.722031,5971.473457,8495.334555,9009.062725,8000.645299,9584.323635,8188.762266,7844.320855,8814.080554,7794.794492,8295.063081,9071.024744,8502.888103,8833.16594,9921.700506,10261.48842,9523.951436,10493.58768,10248.43739,10555.27079,10108.453,10837.74752,11142.42368,11555.64128,11408.55992,11109.70923,12181.20085,12406.75086,11851.60108,11988.77539,11738.21331,11548.58083,11566.54484,10895.01521,11675.4592,11604.20088,11233.9179,11318.25763,10339.1909,10207.86793,9912.711409,9659.604306,10419.81584,10596.55034,,,,
"Bahamas, The",Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518.576954,,,,,,,,,,,,,,2082.196592,2142.467963,2132.717886,2101.431878,,,,,,,,,,,
Bosnia and Herzegovina,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.245337,1445.676088,1050.833602,908.6830711,364.5505527,390.224207,463.6118398,721.1848279,896.7565059,885.2635898,1158.63132,1118.389716,1172.064754,1169.273449,1277.606308,1338.521633,1407.555962,1409.616704,1587.934915,1664.232651,1749.123189,1951.710038,1854.11343,1821.824335,2246.919678,,,,
Belarus,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.375012,4348.467922,3620.731989,3076.700752,2615.739317,2427.669413,2501.348819,2505.604626,2466.16516,2411.568947,2462.411056,2485.565111,2550.108823,2643.687513,2752.759003,2768.821539,2965.377967,2917.907033,2932.103273,2790.137339,2900.042284,3097.656624,3222.44927,2881.507357,2928.520216,,,,
Belize,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.3389353,,,,,,,,,,,,,,560.5705523,567.3009161,590.3977977,595.2679542,,,,,,,,,,,
Bermuda,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,222.7616582,240.9434071,249.3247384,261.213709,296.0515806,317.1747249,331.7364963,351.7636029,378.9923475,438.0870028,450.4092962,464.0366198,431.4033316,421.5941764,407.8082875,377.5791591,342.561523,350.4785183,365.5275948,380.2842076,383.825578,398.0576518,416.7248063,449.2543184,493.8731397,520.2658554,556.1083914,551.0608501,531.0234895,582.6752404,444.8023859,523.3250988,534.1186323,525.1459388,562.6296399,691.9551238,554.1492706,579.4806003,593.6417812,636.138304,660.9912274,747.8691761,740.169863,778.1687546,,,,
Brazil,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,715.8406724,749.0078824,801.676699,833.1969708,849.574493,870.8644151,878.9120077,913.3248518,948.3971921,943.3040127,883.8812574,877.8636054,879.25183,915.0838418,956.2324061,980.4169263,998.3981941,992.5937235,993.9052734,940.9658676,942.0380133,935.7464745,943.3270433,976.9821835,994.2898062,1030.668035,1066.18699,1075.1991,1083.403978,1072.379538,1076.275474,1090.349867,1094.42467,1141.491098,1156.907568,1184.145102,1238.411641,1294.480833,1240.177285,1358.502416,1367.188098,1413.733357,1461.076781,1495.541207,,,,
Barbados,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.974308,,,,,,,,,,,,,,1362.229552,1411.391741,1434.353118,1438.823107,,,,,,,,,,,
Brunei Darussalam,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,1306.535663,1235.379026,2319.334465,3829.421172,4580.704837,5804.395265,6040.626395,5443.470103,5469.760773,6961.486288,6496.942821,6780.035426,6958.198948,7793.587716,7940.516554,6778.455276,6759.625868,5461.899151,6164.214302,6674.711369,7335.265392,7666.050852,7175.617099,6479.08476,7562.770519,7425.412478,7488.520891,7289.03567,7271.033997,7157.132352,6492.724257,6221.159114,7090.248038,6389.813957,6074.568491,8511.574205,8606.765965,9337.042494,7925.914156,8337.49479,9837.44742,9599.377426,7522.255274,8673.088984,,,,
Bhutan,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.453139,,,,,,,,,,,,,,281.7717179,314.4561989,320.9564807,366.9857237,,,,,,,,,,,
Botswana,Energy use (kg of oil equivalent per capita),,,,,,,,,,,,,,,,,,,,,,811.1989579,821.5209659,801.6313132,790.0544773,804.7723316,848.652001,811.8227804,919.4236655,947.4625628,946.7941086,935.5330003,1048.664739,1025.0788,985.4706117,985.1297396,938.4068903,961.7780807,1061.296185,1072.532206,1092.485764,1084.602533,1082.372134,1060.371956,1024.381955,1037.420834,1050.64415,1062.92273,1101.246634,1007.294607,1083.912023,1026.729159,1150.639038,1203.324936,1300.63669,,,,
